Wall time,Step,Value
1604492205.8661628,188,292.22882080078125
1604492207.6127174,190,339.48895263671875
1604492208.518145,191,308.1460876464844
1604492215.0630832,198,304.44866943359375
1604492225.6637213,206,322.56378173828125
1604492226.6020427,207,321.7503662109375
1604492227.6180434,208,351.07720947265625
1604492231.514059,212,306.1475524902344
1604492242.22666,222,332.3847351074219
1604492243.205138,223,362.4529113769531
1604492245.0028813,225,300.686767578125
1604492246.8238463,227,334.5843811035156
1604492248.844932,229,312.2503662109375
1604492252.3848858,232,361.7125244140625
1604492253.4212077,233,317.4565734863281
1604492254.541079,234,342.9306945800781
1604492257.657488,237,320.8634948730469
1604492268.5704231,247,336.43975830078125
1604492270.7018728,249,329.13201904296875
1604492278.7413273,255,279.3249206542969
1604492281.734822,258,315.68548583984375
1604492282.7503521,259,309.0614318847656
1604492283.7078755,260,312.6971740722656
1604492284.7645237,261,298.18878173828125
1604492286.9168003,263,312.031494140625
1604492291.0924125,267,274.3807373046875
1604492293.1491392,269,293.6973876953125
1604492295.214783,271,311.3521728515625
1604492297.3485992,273,278.7602844238281
1604492303.213228,278,299.933837890625
1604492309.401077,284,323.60211181640625
1604492316.8484974,291,282.4662170410156
1604492318.0262246,292,297.70855712890625
1604492323.708373,297,311.0847473144531
1604492324.7644079,298,312.35968017578125
1604492330.0277205,301,335.9193420410156
1604492331.070724,302,297.50140380859375
1604492332.2873535,303,304.3253173828125
1604492337.0828586,307,352.0299987792969
1604492338.2073755,308,326.8783874511719
1604492340.3193796,310,323.8533935546875
1604492343.6343691,313,299.57855224609375
1604492348.1706145,317,302.657470703125
1604492349.2447224,318,319.13079833984375
1604492350.3600204,319,309.4801940917969
1604492351.448276,320,334.9241943359375
1604492353.8398988,322,351.6555480957031
1604492357.6859176,325,313.880859375
1604492358.886978,326,295.3923034667969
1604492360.1345277,327,313.25677490234375
1604492363.8868418,330,337.8602294921875
1604492367.723961,333,306.9903869628906
1604492375.2179556,339,338.85577392578125
1604492377.8892982,341,307.5528564453125
1604492381.8902304,344,357.2215576171875
1604492383.2172878,345,289.9952087402344
1604492385.8057852,347,319.3612365722656
1604492386.9798903,348,327.5232849121094
1604492395.2668457,353,305.3671875
1604492396.677427,354,294.3880920410156
1604492402.024213,358,289.3001403808594
1604492404.6071384,360,329.8076171875
